match_id,year,home_team,away_team,home_score,away_score,home_rank,away_rank,home_gdp,away_gdp,home_pop,away_pop,result
208,1970,Italy,Sweden,1.0,0.0,,,113656669764.56,38037226668.2131,53821850.0,8042801.0,1
209,1970,Uruguay,Italy,0.0,0.0,,,2137096774.19355,113656669764.56,2790807.0,53821850.0,0
210,1970,Sweden,Israel,1.0,1.0,,,38037226668.2131,7406712876.3832,8042801.0,2974000.0,0
211,1970,Sweden,Uruguay,1.0,0.0,,,38037226668.2131,2137096774.19355,8042801.0,2790807.0,1
212,1970,Italy,Israel,0.0,0.0,,,113656669764.56,7406712876.3832,53821850.0,2974000.0,0
213,1970,England,Romania,1.0,0.0,,,130671946244.3,,55663250.0,20250398.0,1
214,1970,Brazil,Czechoslovakia,4.0,1.0,,,42327664793.6934,,95375651.0,,1
215,1970,Romania,Czechoslovakia,2.0,1.0,,,,,20250398.0,,1
216,1970,Brazil,England,1.0,0.0,,,42327664793.6934,130671946244.3,95375651.0,55663250.0,1
217,1970,Brazil,Romania,3.0,2.0,,,42327664793.6934,,95375651.0,20250398.0,1
218,1970,England,Czechoslovakia,1.0,0.0,,,130671946244.3,,55663250.0,,1
219,1970,Peru,Bulgaria,3.0,2.0,,,7432223176.93623,,13501237.0,8489574.0,1
220,1970,West Germany,Morocco,2.0,1.0,,,,3956336244.11865,,15129449.0,1
221,1970,Peru,Morocco,3.0,0.0,,,7432223176.93623,3956336244.11865,13501237.0,15129449.0,1
222,1970,West Germany,Bulgaria,5.0,2.0,,,,,,8489574.0,1
223,1970,West Germany,Peru,3.0,1.0,,,,7432223176.93623,,13501237.0,1
224,1970,Bulgaria,Morocco,1.0,1.0,,,,3956336244.11865,8489574.0,15129449.0,0
225,1970,Soviet Union,Uruguay,0.0,1.0,,,,2137096774.19355,,2790807.0,-1
226,1970,Italy,Mexico,4.0,1.0,,,113656669764.56,35520000000.0,53821850.0,50814953.0,1
227,1970,Brazil,Peru,4.0,2.0,,,42327664793.6934,7432223176.93623,95375651.0,13501237.0,1
228,1970,West Germany,England,3.0,2.0,,,,130671946244.3,,55663250.0,1
229,1970,Brazil,Uruguay,3.0,1.0,,,42327664793.6934,2137096774.19355,95375651.0,2790807.0,1
230,1970,Italy,West Germany,4.0,3.0,,,113656669764.56,,53821850.0,,1
231,1970,West Germany,Uruguay,1.0,0.0,,,,2137096774.19355,,2790807.0,1
232,1970,Brazil,Italy,4.0,1.0,,,42327664793.6934,113656669764.56,95375651.0,53821850.0,1
233,1974,West Germany,Chile,1.0,0.0,,,,16584311220.1384,,10505817.0,1
234,1974,East Germany,Australia,2.0,0.0,,,,89086219602.0634,,13723000.0,1
235,1974,Australia,West Germany,0.0,3.0,,,89086219602.0634,,13723000.0,,-1
236,1974,Chile,East Germany,1.0,1.0,,,16584311220.1384,,10505817.0,,0
237,1974,Australia,Chile,0.0,0.0,,,89086219602.0634,16584311220.1384,13723000.0,10505817.0,0
238,1974,East Germany,West Germany,1.0,0.0,,,,,,,1
239,1974,Brazil,Yugoslavia,0.0,0.0,,,109794519727.538,,105089675.0,,0
240,1974,Zaire,Scotland,0.0,2.0,,,,206131369798.971,,56229974.0,-1
241,1974,Yugoslavia,Zaire,9.0,0.0,,,,,,,1
242,1974,Scotland,Brazil,0.0,0.0,,,206131369798.971,109794519727.538,56229974.0,105089675.0,0
243,1974,Scotland,Yugoslavia,1.0,1.0,,,206131369798.971,,56229974.0,,0
244,1974,Zaire,Brazil,0.0,3.0,,,,109794519727.538,,105089675.0,-1
245,1974,Uruguay,Netherlands,0.0,2.0,,,4090209681.97172,87371810804.1643,2853944.0,13545056.0,-1
246,1974,Sweden,Bulgaria,0.0,0.0,,,65917634590.2599,,8159955.0,8678745.0,0
247,1974,Bulgaria,Uruguay,1.0,1.0,,,,4090209681.97172,8678745.0,2853944.0,0
248,1974,Netherlands,Sweden,0.0,0.0,,,87371810804.1643,65917634590.2599,13545056.0,8159955.0,0
249,1974,Bulgaria,Netherlands,1.0,4.0,,,,87371810804.1643,8678745.0,13545056.0,-1
250,1974,Sweden,Uruguay,3.0,0.0,,,65917634590.2599,4090209681.97172,8159955.0,2853944.0,1
251,1974,Italy,Haiti,3.0,1.0,,,200024444775.231,565399321.520814,55110868.0,5001796.0,1
252,1974,Poland,Argentina,3.0,2.0,,,,72436777342.4554,33678899.0,25461351.0,1
253,1974,Argentina,Italy,1.0,1.0,,,72436777342.4554,200024444775.231,25461351.0,55110868.0,0
254,1974,Haiti,Poland,0.0,7.0,,,565399321.520814,,5001796.0,33678899.0,-1
255,1974,Argentina,Haiti,4.0,1.0,,,72436777342.4554,565399321.520814,25461351.0,5001796.0,1
256,1974,Poland,Italy,2.0,1.0,,,,200024444775.231,33678899.0,55110868.0,1
257,1974,Netherlands,Argentina,4.0,0.0,,,87371810804.1643,72436777342.4554,13545056.0,25461351.0,1
258,1974,Brazil,East Germany,1.0,0.0,,,109794519727.538,,105089675.0,,1
259,1974,Argentina,Brazil,1.0,2.0,,,72436777342.4554,109794519727.538,25461351.0,105089675.0,-1
260,1974,East Germany,Netherlands,0.0,2.0,,,,87371810804.1643,,13545056.0,-1
261,1974,Argentina,East Germany,1.0,1.0,,,72436777342.4554,,25461351.0,,0
262,1974,Netherlands,Brazil,2.0,0.0,,,87371810804.1643,109794519727.538,13545056.0,105089675.0,1
263,1974,Yugoslavia,West Germany,0.0,2.0,,,,,,,-1
264,1974,Sweden,Poland,0.0,1.0,,,65917634590.2599,,8159955.0,33678899.0,-1
265,1974,Poland,Yugoslavia,2.0,1.0,,,,,33678899.0,,1
266,1974,West Germany,Sweden,4.0,2.0,,,,65917634590.2599,,8159955.0,1
267,1974,Poland,West Germany,0.0,1.0,,,,,33678899.0,,-1
268,1974,Sweden,Yugoslavia,2.0,1.0,,,65917634590.2599,,8159955.0,,1
269,1974,Brazil,Poland,0.0,1.0,,,109794519727.538,,105089675.0,33678899.0,-1
270,1974,Netherlands,West Germany,1.0,2.0,,,87371810804.1643,,13545056.0,,-1
271,1978,Italy,France,2.0,1.0,,,315784469541.41,501724418604.651,56155143.0,54734030.0,1
272,1978,Argentina,Hungary,2.0,1.0,,,89049453088.3282,17286744153.707,27132158.0,10684822.0,1
273,1978,Italy,Hungary,3.0,1.0,,,315784469541.41,17286744153.707,56155143.0,10684822.0,1
274,1978,Argentina,France,2.0,1.0,,,89049453088.3282,501724418604.651,27132158.0,54734030.0,1
275,1978,France,Hungary,3.0,1.0,,,501724418604.651,17286744153.707,54734030.0,10684822.0,1
276,1978,Argentina,Italy,0.0,1.0,,,89049453088.3282,315784469541.41,27132158.0,56155143.0,-1
277,1978,West Germany,Poland,0.0,0.0,,,,,,34965600.0,0
278,1978,Tunisia,Mexico,3.0,1.0,,,5968460080.1113,102648570299.117,6309390.0,63979046.0,1
279,1978,West Germany,Mexico,6.0,0.0,,,,102648570299.117,,63979046.0,1
280,1978,Poland,Tunisia,1.0,0.0,,,,5968460080.1113,34965600.0,6309390.0,1
281,1978,West Germany,Tunisia,0.0,0.0,,,,5968460080.1113,,6309390.0,0
282,1978,Poland,Mexico,3.0,1.0,,,,102648570299.117,34965600.0,63979046.0,1
283,1978,Austria,Spain,2.0,1.0,,,61809208755.804,160484969618.056,7562305.0,36864898.0,1
284,1978,Brazil,Sweden,1.0,1.0,,,200278646123.581,104290933495.629,115600942.0,8275599.0,0
285,1978,Austria,Sweden,1.0,0.0,,,61809208755.804,104290933495.629,7562305.0,8275599.0,1
286,1978,Brazil,Spain,0.0,0.0,,,200278646123.581,160484969618.056,115600942.0,36864898.0,0
287,1978,Spain,Sweden,1.0,0.0,,,160484969618.056,104290933495.629,36864898.0,8275599.0,1
288,1978,Brazil,Austria,1.0,0.0,,,200278646123.581,61809208755.804,115600942.0,7562305.0,1
289,1978,Peru,Scotland,3.0,1.0,,,12491876742.9708,335883029721.956,16516059.0,56196504.0,1
290,1978,Netherlands,Iran,3.0,0.0,,,156089077205.133,77994316621.4814,13941700.0,37126535.0,1
291,1978,Scotland,Iran,1.0,1.0,,,335883029721.956,77994316621.4814,56196504.0,37126535.0,0
292,1978,Netherlands,Peru,0.0,0.0,,,156089077205.133,12491876742.9708,13941700.0,16516059.0,0
293,1978,Peru,Iran,4.0,1.0,,,12491876742.9708,77994316621.4814,16516059.0,37126535.0,1
294,1978,Scotland,Netherlands,3.0,2.0,,,335883029721.956,156089077205.133,56196504.0,13941700.0,1
295,1978,Austria,Netherlands,1.0,5.0,,,61809208755.804,156089077205.133,7562305.0,13941700.0,-1
296,1978,Italy,West Germany,0.0,0.0,,,315784469541.41,,56155143.0,,0
297,1978,Netherlands,West Germany,2.0,2.0,,,156089077205.133,,13941700.0,,0
298,1978,Italy,Austria,1.0,0.0,,,315784469541.41,61809208755.804,56155143.0,7562305.0,1
299,1978,Austria,West Germany,3.0,2.0,,,61809208755.804,,7562305.0,,1
300,1978,Italy,Netherlands,1.0,2.0,,,315784469541.41,156089077205.133,56155143.0,13941700.0,-1
301,1978,Brazil,Peru,3.0,0.0,,,200278646123.581,12491876742.9708,115600942.0,16516059.0,1
302,1978,Argentina,Poland,2.0,0.0,,,89049453088.3282,,27132158.0,34965600.0,1
303,1978,Peru,Poland,0.0,1.0,,,12491876742.9708,,16516059.0,34965600.0,-1
304,1978,Argentina,Brazil,0.0,0.0,,,89049453088.3282,200278646123.581,27132158.0,115600942.0,0
305,1978,Brazil,Poland,3.0,1.0,,,200278646123.581,,115600942.0,34965600.0,1
