match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
94,1954,Quarterfinals,Austria,Switzerland,7.0,5.0,11.0,9.0,1,50392857549.0,6940209.0,64921861555.846085,4929000.0
95,1954,Quarterfinals,Uruguay,England,4.0,2.0,2.0,12.0,1,19164760239.0,2316543.0,616540925000.0,50765000.0
100,1954,Third Place Match,Austria,Uruguay,3.0,1.0,11.0,2.0,1,50392857549.0,6940209.0,19164760239.0,2316543.0
97,1954,Quarterfinals,Hungary,Brazil,4.0,2.0,4.0,7.0,1,44094358000.0,9706000.0,151832713289.0,59989219.0
98,1954,Semifinals,West Germany,Austria,6.0,1.0,12.0,11.0,1,584376913860.0,69868115.0,50392857549.0,6940209.0
99,1954,Semifinals,Hungary,Uruguay,4.0,2.0,4.0,2.0,1,44094358000.0,9706000.0,19164760239.0,2316543.0
90,1954,Group Stage,England,Belgium,4.0,4.0,12.0,32.0,0,616540925000.0,50765000.0,84754241800.0,8819380.0
101,1954,Final,West Germany,Hungary,3.0,2.0,12.0,4.0,1,584376913860.0,69868115.0,44094358000.0,9706000.0
96,1954,Quarterfinals,West Germany,Yugoslavia,2.0,0.0,12.0,10.0,1,584376913860.0,69868115.0,40047585000.0,17151000.0
89,1954,Group Stage,Switzerland,Italy,2.0,1.0,9.0,1.0,1,64921861555.846085,4929000.0,342536508000.0,48299000.0
92,1954,Group Stage,England,Switzerland,2.0,0.0,12.0,9.0,1,616540925000.0,50765000.0,64921861555.846085,4929000.0
87,1954,Group Stage,Uruguay,Scotland,7.0,0.0,2.0,12.0,1,19164760239.0,2316543.0,616540925000.0,50765000.0
88,1954,Group Stage,Austria,Czechoslovakia,5.0,0.0,11.0,6.0,1,50392857549.0,6940209.0,48364939614.14639,9290617.0
76,1954,Group Stage,Brazil,Mexico,5.0,0.0,7.0,31.0,1,151832713289.0,59989219.0,123074544163.0,31959113.0
77,1954,Group Stage,Yugoslavia,France,1.0,0.0,10.0,27.0,1,40047585000.0,17151000.0,413153816000.0,43822000.0
79,1954,Group Stage,France,Mexico,3.0,2.0,27.0,31.0,1,413153816000.0,43822000.0,123074544163.0,31959113.0
80,1954,Group Stage,West Germany,Turkey,4.0,1.0,12.0,12.0,1,584376913860.0,69868115.0,61217098553.0,23463817.0
78,1954,Group Stage,Brazil,Yugoslavia,1.0,1.0,7.0,10.0,0,151832713289.0,59989219.0,40047585000.0,17151000.0
82,1954,Group Stage,Hungary,West Germany,8.0,3.0,4.0,12.0,1,44094358000.0,9706000.0,584376913860.0,69868115.0
83,1954,Group Stage,Turkey,South Korea,7.0,0.0,12.0,12.0,1,61217098553.0,23463817.0,29181574732.66833,21258836.0
84,1954,Group Stage,West Germany,Turkey,7.0,2.0,12.0,12.0,1,584376913860.0,69868115.0,61217098553.0,23463817.0
85,1954,Group Stage,Uruguay,Czechoslovakia,2.0,0.0,2.0,6.0,1,19164760239.0,2316543.0,48364939614.14639,9290617.0
86,1954,Group Stage,Austria,Scotland,1.0,0.0,11.0,12.0,1,50392857549.0,6940209.0,616540925000.0,50765000.0
81,1954,Group Stage,Hungary,South Korea,9.0,0.0,4.0,12.0,1,44094358000.0,9706000.0,29181574732.66833,21258836.0
127,1958,Group Stage,Brazil,Soviet Union,2.0,0.0,7.0,12.0,1,202937305065.0,67533213.0,1241330020000.0,206201000.0
122,1958,Group Stage,Brazil,Austria,3.0,0.0,7.0,11.0,1,202937305065.0,67533213.0,65792962928.0,6987358.0
123,1958,Group Stage,Soviet Union,England,2.0,2.0,12.0,12.0,0,1241330020000.0,206201000.0,655877096000.0,51652000.0
124,1958,Group Stage,Brazil,England,0.0,0.0,7.0,12.0,0,202937305065.0,67533213.0,655877096000.0,51652000.0
125,1958,Group Stage,Soviet Union,Austria,2.0,0.0,12.0,11.0,1,1241330020000.0,206201000.0,65792962928.0,6987358.0
126,1958,Group Stage,England,Austria,2.0,2.0,12.0,11.0,0,655877096000.0,51652000.0,65792962928.0,6987358.0
128,1958,Group Stage,Soviet Union,England,1.0,0.0,12.0,12.0,1,1241330020000.0,206201000.0,655877096000.0,51652000.0
135,1958,Third Place Match,France,West Germany,6.0,3.0,30.0,12.0,1,498861258000.0,45654000.0,767711425413.0,71488167.0
130,1958,Quarterfinals,France,Northern Ireland,4.0,0.0,30.0,12.0,1,498861258000.0,45654000.0,655877096000.0,51652000.0
131,1958,Quarterfinals,Sweden,Soviet Union,2.0,0.0,24.0,12.0,1,95457556000.0,7409000.0,1241330020000.0,206201000.0
132,1958,Quarterfinals,West Germany,Yugoslavia,1.0,0.0,12.0,10.0,1,767711425413.0,71488167.0,54882864000.0,17796000.0
133,1958,Semifinals,Brazil,France,5.0,2.0,7.0,30.0,1,202937305065.0,67533213.0,498861258000.0,45654000.0
134,1958,Semifinals,Sweden,West Germany,3.0,1.0,24.0,12.0,1,95457556000.0,7409000.0,767711425413.0,71488167.0
136,1958,Final,Brazil,Sweden,5.0,2.0,7.0,24.0,1,202937305065.0,67533213.0,95457556000.0,7409000.0
121,1958,Group Stage,Wales,Hungary,2.0,1.0,12.0,3.0,1,655877096000.0,51652000.0,53036694000.0,9882000.0
129,1958,Quarterfinals,Brazil,Wales,1.0,0.0,7.0,12.0,1,202937305065.0,67533213.0,655877096000.0,51652000.0
120,1958,Group Stage,Hungary,Mexico,4.0,0.0,3.0,34.0,1,53036694000.0,9882000.0,162674939455.0,36141955.0
107,1958,Group Stage,Czechoslovakia,Argentina,6.0,1.0,6.0,4.0,1,55149928666.6118,9574650.0,181174413737.0,19946539.0
118,1958,Group Stage,Sweden,Hungary,2.0,1.0,24.0,3.0,1,95457556000.0,7409000.0,53036694000.0,9882000.0
119,1958,Group Stage,Sweden,Wales,0.0,0.0,24.0,12.0,0,95457556000.0,7409000.0,655877096000.0,51652000.0
102,1958,Group Stage,Argentina,West Germany,1.0,3.0,4.0,12.0,-1,181174413737.0,19946539.0,767711425413.0,71488167.0
104,1958,Group Stage,West Germany,Czechoslovakia,2.0,2.0,12.0,6.0,0,767711425413.0,71488167.0,55149928666.6118,9574650.0
105,1958,Group Stage,Argentina,Northern Ireland,3.0,1.0,4.0,12.0,1,181174413737.0,19946539.0,655877096000.0,51652000.0
106,1958,Group Stage,West Germany,Northern Ireland,2.0,2.0,12.0,12.0,0,767711425413.0,71488167.0,655877096000.0,51652000.0
108,1958,Group Stage,Northern Ireland,Czechoslovakia,2.0,1.0,12.0,6.0,1,655877096000.0,51652000.0,55149928666.6118,9574650.0
